"spec","env","r","p","rd","pd"
"IFI6","CD4+ naive T-cells",0.222215663630753,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"IFI6","CD8+ T-cells",0.182174996106429,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","CD8+ Tcm",0.141686412229427,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","cDC",0.131107030157581,0.0396039603960396,"< 0.2","0.01 - 0.05"
"IFI6","Macrophages",0.199460099403934,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Macrophages M1",0.220707550120213,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","Macrophages M2",0.159582222072803,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Mast cells",0.180076536855621,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Monocytes.x",0.225870207170381,0.0396039603960396,"0.2 - 0.4","0.01 - 0.05"
"IFI6","MSC",0.130990451704833,0.0495049504950495,"< 0.2","0.01 - 0.05"
"IFI6","NKT",0.119846695103427,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Preadipocytes",0.158256478850572,0.0099009900990099,"< 0.2","< 0.01"
"IFI6","Th1 cells",0.0898083905629282,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","Th2 cells",0.237373493568902,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","MicroenvironmentScore",0.162323879507294,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","StromalScore_estimate",0.204794629605893,0.0099009900990099,"0.2 - 0.4","< 0.01"
"IFI6","TumorPurity_estimate",0.109222773048178,0.0396039603960396,"< 0.2","0.01 - 0.05"
"IFI6","AZ_IPS",0.156266899664268,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","T_cells_gamma_delta",0.186493377930459,0.0297029702970297,"< 0.2","0.01 - 0.05"
"IFI6","Dendritic_cells_activated",0.108194550515639,0.0198019801980198,"< 0.2","0.01 - 0.05"
"IFI6","Eosinophils.y",0.171017220055415,0.0495049504950495,"< 0.2","0.01 - 0.05"
"IFI6","Neutrophils.y",0.193924955036253,0.0297029702970297,"< 0.2","0.01 - 0.05"
"MX1","Adipocytes",0.165333337683546,0.0297029702970297,"< 0.2","0.01 - 0.05"
"MX1","B-cells",0.193263794536649,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","CD4+ naive T-cells",0.229043128017528,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","CD4+ T-cells",0.156743435928253,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","CD4+ Tem",0.197141457837519,0.0099009900990099,"< 0.2","< 0.01"
"MX1","CD8+ Tcm",0.154816623302286,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","CD8+ Tem",0.206209882126169,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"MX1","Macrophages M1",0.172512021404017,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","Mast cells",0.147173110504969,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","Monocytes.x",0.202265625649776,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"MX1","MSC",0.153610398307975,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","NKT",0.116794958148076,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","pDC",0.211368522234246,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Platelets",0.128530602310588,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Preadipocytes",0.16148262046069,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","pro B-cells",0.185773724774601,0.0297029702970297,"< 0.2","0.01 - 0.05"
"MX1","Th1 cells",0.145034651610829,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Th2 cells",0.216848352307867,0.0099009900990099,"0.2 - 0.4","< 0.01"
"MX1","Tregs",0.162682917815922,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","NKcells_EPIC",0.16350632474365,0.0495049504950495,"< 0.2","0.01 - 0.05"
"MX1","StromalScore_estimate",0.171241867789324,0.0099009900990099,"< 0.2","< 0.01"
"MX1","T_cells_follicular_helper",0.177888511606326,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","T_cells_gamma_delta",0.186172291599311,0.0099009900990099,"< 0.2","< 0.01"
"MX1","Dendritic_cells_activated",0.128521833052877,0.0198019801980198,"< 0.2","0.01 - 0.05"
"MX1","Eosinophils.y",0.147682088885214,0.0396039603960396,"< 0.2","0.01 - 0.05"
"MX1","Neutrophils.y",0.198958393721148,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Adipocytes",0.195792045871379,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","B-cells",0.190901924265071,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","CD4+ memory T-cells",0.162588241627287,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","CD4+ naive T-cells",0.210305512225002,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"NMI","CD4+ T-cells",0.208905698273226,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","CD8+ T-cells",0.23270950610686,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","CD8+ Tcm",0.209868580176659,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"NMI","CD8+ Tem",0.183194527646276,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","GMP",0.221862153520112,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Macrophages",0.164322018838843,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","Mast cells",0.173279573241996,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","pDC",0.231435054509623,0.0396039603960396,"0.2 - 0.4","0.01 - 0.05"
"NMI","Tgd cells",0.256911281689551,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","Th1 cells",0.136105059178291,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","Th2 cells",0.17036204849651,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","Tregs",0.198134928126648,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","MicroenvironmentScore",0.239435903067283,0.0099009900990099,"0.2 - 0.4","< 0.01"
"NMI","NKcells_EPIC",0.179547288134075,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","StromalScore_estimate",0.130116610254068,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","Monocytes_quantiseq",0.198612283797116,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","T_cells_CD4_memory_resting",0.167059726537059,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","T_cells_follicular_helper",0.161812701912646,0.0198019801980198,"< 0.2","0.01 - 0.05"
"NMI","T_cells_gamma_delta",0.16161489818851,0.0495049504950495,"< 0.2","0.01 - 0.05"
"NMI","Macrophages_M1",0.110991596963252,0.0297029702970297,"< 0.2","0.01 - 0.05"
"NMI","Eosinophils.y",0.156161389714889,0.0396039603960396,"< 0.2","0.01 - 0.05"
"NMI","Neutrophils.y",0.198551145376616,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","Adipocytes",0.16813061649593,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","B-cells",0.207769634215309,0.0495049504950495,"0.2 - 0.4","0.01 - 0.05"
"OAS3","CD4+ naive T-cells",0.211017734082282,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OAS3","CD4+ Tem",0.161222020627852,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OAS3","CD8+ Tcm",0.134508943470097,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OAS3","Macrophages",0.164016821910455,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Macrophages M1",0.221023899929295,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","Mast cells",0.154025726455872,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","Monocytes.x",0.230701501367515,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","MSC",0.144115269801394,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","NKT",0.148284045674038,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Osteoblast",0.21127549739165,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"OAS3","pDC",0.217096434659581,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OAS3","Preadipocytes",0.135684115654298,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","pro B-cells",0.193354529015722,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Th1 cells",0.13963325046559,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Th2 cells",0.207563245772306,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OAS3","Tregs",0.138617394804273,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OAS3","MicroenvironmentScore",0.16625508936845,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","NKcells_EPIC",0.205058551481398,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OAS3","StromalScore_estimate",0.201364565833376,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OAS3","T_cells_CD4_quantiseq",0.193827254854772,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","T_cells_CD4_memory_activated",0.122063400589399,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","T_cells_gamma_delta",0.172552545195347,0.0198019801980198,"< 0.2","0.01 - 0.05"
"OAS3","Dendritic_cells_activated",0.157345855338845,0.0099009900990099,"< 0.2","< 0.01"
"OAS3","Eosinophils.y",0.155826228873679,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OAS3","Neutrophils.y",0.19473011064712,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OASL","B-cells",0.168433351546254,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OASL","CD4+ naive T-cells",0.334886227760583,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD4+ T-cells",0.207831662079964,0.0396039603960396,"0.2 - 0.4","0.01 - 0.05"
"OASL","CD4+ Tcm",0.241328293195756,0.0396039603960396,"0.2 - 0.4","0.01 - 0.05"
"OASL","CD4+ Tem",0.239065466971677,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD8+ naive T-cells",0.206543657431104,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OASL","CD8+ T-cells",0.331972836716988,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD8+ Tcm",0.240441439980759,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","CD8+ Tem",0.19334099661553,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OASL","Erythrocytes",0.195553660313464,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OASL","GMP",0.398355465488576,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Mast cells",0.173512736421624,0.0495049504950495,"< 0.2","0.01 - 0.05"
"OASL","NKT",0.163162493346405,0.0297029702970297,"< 0.2","0.01 - 0.05"
"OASL","Platelets",0.261827524752665,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OASL","Preadipocytes",0.174398872872718,0.0099009900990099,"< 0.2","< 0.01"
"OASL","Th2 cells",0.265923266096166,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Tregs",0.273568387091605,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","MicroenvironmentScore",0.222678699605166,0.0297029702970297,"0.2 - 0.4","0.01 - 0.05"
"OASL","TumorPurity_estimate",0.139761747377328,0.0396039603960396,"< 0.2","0.01 - 0.05"
"OASL","Tregs_quantiseq",0.204527992915615,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"OASL","T_cells_gamma_delta",0.261220669556665,0.0099009900990099,"0.2 - 0.4","< 0.01"
"OASL","Macrophages_M1",0.141318614714429,0.0198019801980198,"< 0.2","0.01 - 0.05"
"SAMD9","CD4+ Tem",0.167513355777796,0.0396039603960396,"< 0.2","0.01 - 0.05"
"SAMD9","CD8+ T-cells",0.177486248412776,0.0495049504950495,"< 0.2","0.01 - 0.05"
"SAMD9","CD8+ Tem",0.178483569123284,0.0198019801980198,"< 0.2","0.01 - 0.05"
"SAMD9","MSC",0.142158556173063,0.0396039603960396,"< 0.2","0.01 - 0.05"
"SAMD9","NKT",0.127445470849051,0.0198019801980198,"< 0.2","0.01 - 0.05"
"SAMD9","Osteoblast",0.224851985596779,0.0396039603960396,"0.2 - 0.4","0.01 - 0.05"
"SAMD9","Th2 cells",0.164888515752251,0.0396039603960396,"< 0.2","0.01 - 0.05"
"SAMD9","NKcells_EPIC",0.193636026310767,0.0495049504950495,"< 0.2","0.01 - 0.05"
"SAMD9","StromalScore_estimate",0.129480719426844,0.0297029702970297,"< 0.2","0.01 - 0.05"
"SAMD9","T_cells_follicular_helper",0.164724635448776,0.0099009900990099,"< 0.2","< 0.01"
"SAMD9","T_cells_gamma_delta",0.159011880103949,0.0495049504950495,"< 0.2","0.01 - 0.05"
"SAMD9","Eosinophils.y",0.152610470565201,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","B-cells",0.204316246676182,0.0099009900990099,"0.2 - 0.4","< 0.01"
"UBE2L6","CD4+ memory T-cells",0.136074692693104,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","CD4+ Tem",0.165765382004617,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","CD8+ naive T-cells",0.150591454659266,0.0396039603960396,"< 0.2","0.01 - 0.05"
"UBE2L6","CD8+ T-cells",0.166157656236847,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","CD8+ Tcm",0.167921646007762,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","CD8+ Tem",0.183344829809208,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","DC",0.133337103219456,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","GMP",0.144012575669771,0.0396039603960396,"< 0.2","0.01 - 0.05"
"UBE2L6","Macrophages",0.210883051151221,0.0099009900990099,"0.2 - 0.4","< 0.01"
"UBE2L6","Macrophages M1",0.219197385977622,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
"UBE2L6","Macrophages M2",0.161445456427682,0.0099009900990099,"< 0.2","< 0.01"
"UBE2L6","Mast cells",0.152079404305468,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","Monocytes.x",0.227985583517572,0.0099009900990099,"0.2 - 0.4","< 0.01"
"UBE2L6","pDC",0.215205673588419,0.0099009900990099,"0.2 - 0.4","< 0.01"
"UBE2L6","pro B-cells",0.160055813331675,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","Tgd cells",0.229808260481804,0.0099009900990099,"0.2 - 0.4","< 0.01"
"UBE2L6","Th2 cells",0.170590820205558,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","Tregs",0.171247743279272,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","ImmuneScore",0.108302165644226,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","MicroenvironmentScore",0.14497293212496,0.0396039603960396,"< 0.2","0.01 - 0.05"
"UBE2L6","Macrophages_EPIC",0.154787297854891,0.0396039603960396,"< 0.2","0.01 - 0.05"
"UBE2L6","NKcells_EPIC",0.167238938240343,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","StromalScore_estimate",0.132634671241567,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","T_cells_CD4_quantiseq",0.191592078558022,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","MHC_IPS",0.128452611407616,0.0297029702970297,"< 0.2","0.01 - 0.05"
"UBE2L6","AZ_IPS",0.185800300737324,0.0099009900990099,"< 0.2","< 0.01"
"UBE2L6","T_cells_CD4_memory_resting",0.125795245677464,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","T_cells_follicular_helper",0.156443041848767,0.0099009900990099,"< 0.2","< 0.01"
"UBE2L6","T_cells_gamma_delta",0.139787613906752,0.0495049504950495,"< 0.2","0.01 - 0.05"
"UBE2L6","Macrophages_M1",0.140447493493432,0.0099009900990099,"< 0.2","< 0.01"
"UBE2L6","Eosinophils.y",0.168190305513022,0.0198019801980198,"< 0.2","0.01 - 0.05"
"UBE2L6","Neutrophils.y",0.207171787699012,0.0198019801980198,"0.2 - 0.4","0.01 - 0.05"
